Country,Region,GDP_USD_billions
Tunisia,Africa,49.82
Uganda,Africa,49.79
Cameroon,Africa,48.62
Latvia,Europe,47.4
Sudan,Africa,46.7
Libya,Africa,46.3
Bolivia,Americas,46.1
Bahrain,Asia,44.87
Paraguay,Americas,42.82
Nepal,Asia,42.1
Estonia,Europe,41.55
Macau,Asia,35.84
El Salvador,Americas,33.75
Honduras,Americas,32.86
Papua New Guinea,Oceania,31.36
Senegal,Africa,31.22
Cyprus,Asia,30.86
Cambodia,Asia,30.63
Zimbabwe,Africa,29.93
Zambia,Africa,29.27
Iceland,Europe,28.62
Bosnia and Herzegovina,Europe,28.49
Trinidad and Tobago,Americas,28.22
Georgia,Europe,27.95
Haiti,Americas,26.58
Lebanon,Asia,
Armenia,Asia,23.72
Guinea,Africa,23.33
Burkina Faso,Africa,21.08
Mali,Africa,20.78
Gabon,Africa,20.33
Albania,Europe,20.18
Afghanistan,Asia,
Mozambique,Africa,19.91
Palestine,Asia,19.21
Botswana,Africa,19.57
Yemen,Asia,19.53
Malta,Europe,19.4
Benin,Africa,19.24
Nicaragua,Americas,17.29
Jamaica,Americas,17.25
Mongolia,Asia,16.91
Niger,Africa,16.62
Guyana,Americas,16.31
Brunei,Asia,15.99
Madagascar,Africa,15.97
North Korea,Asia,
Moldova,Europe,15.83
Syria,Asia,
North Macedonia,Europe,15.28
Equatorial Guinea,Africa,15.1
Mauritius,Africa,14.57
Bahamas,Americas,14.11
Laos,Asia,14.09
Namibia,Africa,13.49
Rwanda,Africa,13.15
Congo,Africa,13.03
Tajikistan,Asia,12.8
Kyrgyzstan,Asia,12.31
Chad,Africa,11.96
Malawi,Africa,11.28
Mauritania,Africa,10.97
New Caledonia,Oceania,
Kosovo,Europe,9.99
Togo,Africa,9.0
Somalia,Africa,8.74
Monaco,Europe,
Bermuda,Americas,
Montenegro,Europe,7.03
South Sudan,Africa,7.01
Maldives,Asia,7.0
Liechtenstein,Europe,
Barbados,Americas,6.12
French Polynesia,Oceania,
Cayman Islands,Americas,
Fiji,Oceania,5.38
Eswatini,Africa,4.82
Liberia,Africa,4.38
Djibouti,Africa,3.92
Andorra,Europe,3.67
Aruba,Americas,3.63
Sierra Leone,Africa,3.52
Suriname,Americas,3.47
Burundi,Africa,3.23
Belize,Americas,3.16
Greenland,Americas,
Central African Republic,Africa,2.74
Curaçao,Americas,
Bhutan,Asia,2.68
Eritrea,Africa,2.67
Lesotho,Africa,2.58
Cape Verde,Africa,2.47
Gambia,Africa,2.28
Saint Lucia,Americas,2.26
East Timor,Asia,1.99
Seychelles,Africa,1.95
Guinea-Bissau,Africa,1.89
Antigua and Barbuda,Americas,1.86
San Marino,Europe,1.81
Zanzibar,Africa,
Solomon Islands,Oceania,1.7
British Virgin Islands,Americas,
Comoros,Africa,1.35
Grenada,Americas,1.27
Vanuatu,Oceania,1.06
Saint Kitts and Nevis,Americas,1.05
Saint Vincent and the Grenadines,Americas,1.04
Turks and Caicos Islands,Americas,
Samoa,Oceania,0.9
Sint Maarten,Americas,
Dominica,Americas,0.68
São Tomé and Príncipe,Africa,0.62
Tonga,Oceania,0.54
Micronesia,Oceania,0.46
Marshall Islands,Oceania,0.29
Cook Islands,Oceania,
Palau,Oceania,0.26
Anguilla,Americas,
Kiribati,Oceania,0.25
Nauru,Oceania,0.15
Montserrat,Americas,
Tuvalu,Oceania,0.06
